Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
246,0.0532,0.0349,0.2006,0.0622,0.2628,0.6030,-0.0218
247,0.0459,0.0312,0.2184,0.0949,0.3134,0.5308,-0.0145
248,0.0495,0.0302,0.2471,0.0620,0.3091,0.6325,-0.0145
249,0.0532,0.0306,0.3341,0.0627,0.3968,0.6769,-0.0097
250,0.0592,0.0333,0.2948,0.0614,0.3562,0.6809,-0.0121
251,0.0508,0.0348,0.1888,0.1067,0.2954,0.5473,-0.0085
252,0.0592,0.0366,0.3293,0.0678,0.3971,0.6574,-0.0133
253,0.0544,0.0345,0.2632,0.0939,0.3571,0.6568,-0.0157
254,0.0508,0.0319,0.2798,0.0624,0.3421,0.6625,-0.0145
255,0.0508,0.0355,0.2925,0.0680,0.3605,0.6980,-0.0133
256,0.0544,0.0316,0.2321,0.0935,0.3256,0.5668,-0.0133
257,0.0520,0.0348,0.2185,0.0610,0.2795,0.6540,-0.0121
258,0.0556,0.0374,0.2922,0.0625,0.3547,0.7183,-0.0133
259,0.0483,0.0357,0.2448,0.0785,0.3233,0.5890,-0.0145
260,0.0532,0.0378,0.2484,0.0945,0.3428,0.5932,-0.0109
261,0.0544,0.0365,0.1852,0.0780,0.2632,0.5556,-0.0121
262,0.0520,0.0392,0.2643,0.0914,0.3557,0.6418,-0.0133
263,0.0483,0.0350,0.2268,0.0615,0.2883,0.6460,-0.0157
264,0.0508,0.0339,0.2896,0.0616,0.3512,0.6463,-0.0121
265,0.0459,0.0323,0.2335,0.0923,0.3258,0.5270,-0.0133
266,0.0495,0.0315,0.2777,0.0619,0.3396,0.6610,-0.0169
267,0.0520,0.0322,0.2789,0.0615,0.3404,0.6695,-0.0024
268,0.0508,0.0360,0.3559,0.0629,0.4187,0.7460,-0.0048
269,0.0532,0.0364,0.2631,0.1081,0.3713,0.5978,-0.0133
270,0.0544,0.0339,0.2657,0.0624,0.3282,0.6319,-0.0073
271,0.0532,0.0336,0.2658,0.0930,0.3589,0.6266,-0.0145
272,0.0568,0.0349,0.2337,0.0616,0.2953,0.6818,-0.0133
