Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
186,0.2054,0.1963,0.2087,0.0631,0.2717,2.1441,-0.1801
187,0.2066,0.2013,0.2040,0.0805,0.2846,2.0783,-0.1547
188,0.2054,0.1825,0.2076,0.0647,0.2723,2.1802,-0.1547
189,0.2054,0.2024,0.2086,0.0633,0.2719,2.1922,-0.1486
190,0.2091,0.2102,0.2350,0.0640,0.2990,2.2453,-0.1245
191,0.2103,0.1833,0.2072,0.0640,0.2712,2.1382,-0.1257
192,0.1994,0.1941,0.2083,0.0636,0.2719,2.2287,-0.0785
193,0.2030,0.1790,0.2078,0.0801,0.2879,2.1044,-0.0846
194,0.2030,0.1912,0.2404,0.0475,0.2879,2.6152,-0.1233
195,0.2018,0.1871,0.2569,0.0461,0.3030,2.7245,-0.0810
196,0.2139,0.2030,0.2239,0.0633,0.2872,2.2507,-0.1136
197,0.2030,0.2080,0.2080,0.0644,0.2724,2.2674,-0.1317
198,0.2030,0.2056,0.2078,0.0643,0.2721,2.2705,-0.1523
199,0.2018,0.1818,0.2189,0.0640,0.2829,2.3893,-0.1063
200,0.2066,0.1723,0.2077,0.0640,0.2717,2.2184,-0.1414
201,0.2066,0.2379,0.2074,0.0835,0.2909,2.1707,-0.1486
202,0.2006,0.2105,0.2239,0.0484,0.2723,2.3297,-0.1740
203,0.2018,0.2033,0.2460,0.0640,0.3100,2.2320,-0.0761
204,0.2054,0.1922,0.2086,0.0639,0.2726,2.3018,-0.1535
205,0.2115,0.2036,0.2154,0.0631,0.2784,2.1863,-0.1535
206,0.2054,0.1837,0.2239,0.0641,0.2880,2.3814,-0.1474
207,0.2079,0.1903,0.2401,0.0482,0.2884,2.5327,-0.1474
208,0.2187,0.2077,0.2079,0.0638,0.2718,2.3173,-0.1426
209,0.2211,0.1950,0.2197,0.0637,0.2834,2.4367,-0.1172
210,0.2054,0.1985,0.1604,0.0639,0.2243,2.3142,-0.0604
211,0.2054,0.1697,0.2239,0.0551,0.2789,2.5099,-0.1849
212,0.2224,0.2079,0.2084,0.0478,0.2562,2.3155,-0.0737
213,0.2103,0.1701,0.1584,0.0640,0.2224,2.1669,-0.1148
214,0.2127,0.2184,0.2078,0.0640,0.2718,2.2038,-0.1498
215,0.2115,0.1943,0.2090,0.0790,0.2879,2.3166,-0.1329
216,0.2054,0.1892,0.2071,0.0743,0.2814,2.2418,-0.1378
217,0.2079,0.2159,0.2076,0.0815,0.2891,2.3096,-0.1196
218,0.2054,0.2101,0.2090,0.0628,0.2718,2.2952,-0.0979
219,0.2054,0.1993,0.2076,0.0642,0.2718,2.2920,-0.1426
220,0.2103,0.2009,0.2071,0.0479,0.2550,2.2959,-0.1438
221,0.1970,0.2008,0.2080,0.0640,0.2720,2.3329,-0.1643
222,0.2091,0.1992,0.2049,0.0640,0.2689,2.2717,-0.1692
223,0.2079,0.2005,0.2031,0.0673,0.2704,2.2462,-0.1873
224,0.2018,0.2045,0.2069,0.0740,0.2809,2.3029,-0.1934
225,0.2127,0.2115,0.1599,0.0484,0.2083,2.3579,-0.1595
226,0.2066,0.2351,0.2080,0.0639,0.2719,2.2250,-0.1498
