Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
45,0.0382,0.0534,2.4211,1.4529,3.8740,2.0740,-0.0216
46,0.0393,0.0533,2.2315,1.5175,3.7491,1.7719,-0.0210
47,0.0378,0.0521,2.1976,1.4898,3.6874,1.7525,-0.0204
48,0.0386,0.0518,2.2288,1.5128,3.7417,1.7533,-0.0202
49,0.0371,0.0507,2.1708,1.5161,3.6868,1.7126,-0.0200
50,0.0354,0.0508,2.1679,1.4906,3.6585,1.6891,-0.0198
51,0.0386,0.0531,2.3953,1.2394,3.6347,2.0251,-0.0192
52,0.0383,0.0511,2.3541,1.2370,3.5912,1.9473,-0.0188
53,0.0376,0.0515,2.1511,1.5177,3.6689,1.6597,-0.0185
54,0.0389,0.0498,2.2616,1.2590,3.5206,1.8595,-0.0187
55,0.0357,0.0495,2.3561,1.2560,3.6121,1.9875,-0.0189
56,0.0391,0.0504,2.2643,1.1792,3.4435,1.8378,-0.0186
57,0.0358,0.0493,2.1374,1.2376,3.3751,1.6602,-0.0195
58,0.0391,0.0498,2.2499,1.2715,3.5214,1.8086,-0.0192
59,0.0353,0.0489,2.3886,0.9921,3.3808,1.9962,-0.0179
60,0.0351,0.0492,2.1058,1.2393,3.3450,1.6232,-0.0196
61,0.0363,0.0493,2.3802,0.9953,3.3755,2.0372,-0.0195
62,0.0400,0.0498,2.3273,0.9916,3.3189,1.9165,-0.0199
63,0.0383,0.0489,2.2069,0.9934,3.2003,1.7496,-0.0194
64,0.0371,0.0468,2.2663,0.9594,3.2257,1.8257,-0.0201
65,0.0377,0.0487,2.3579,0.9922,3.3501,1.9754,-0.0174
66,0.0388,0.0496,2.3219,0.7752,3.0970,1.9390,-0.0200
67,0.0385,0.0482,2.2962,0.7434,3.0396,1.8824,-0.0199
68,0.0374,0.0494,2.4070,0.7448,3.1518,2.0520,-0.0200
69,0.0375,0.0475,2.2318,0.7724,3.0043,1.8111,-0.0195
70,0.0385,0.0479,2.2667,0.7443,3.0110,1.8539,-0.0193
71,0.0408,0.0495,2.3265,0.7461,3.0726,1.9020,-0.0194
72,0.0419,0.0505,2.2321,0.7450,2.9770,1.7854,-0.0203
73,0.0409,0.0492,2.2009,0.7754,2.9763,1.7744,-0.0219
74,0.0458,0.0539,2.4214,0.8022,3.2236,2.0665,-0.0232
75,0.0462,0.0530,2.4118,0.7729,3.1847,2.0512,-0.0241
76,0.0419,0.0490,2.2624,0.7448,3.0072,1.8442,-0.0253
77,0.0406,0.0515,2.2027,0.7372,2.9399,1.7386,-0.0257
78,0.0420,0.0521,2.2302,0.7775,3.0077,1.7983,-0.0266
79,0.0470,0.0529,2.3579,0.8060,3.1639,1.9756,-0.0274
80,0.0420,0.0485,2.3501,0.7755,3.1256,1.9536,-0.0289
81,0.0409,0.0489,2.3538,0.7127,3.0666,1.9686,-0.0294
82,0.0363,0.0480,2.4138,0.4976,2.9114,2.0642,-0.0290
83,0.0373,0.0472,2.2292,0.7231,2.9523,1.7942,-0.0282
84,0.0396,0.0483,2.3884,0.4939,2.8823,2.0298,-0.0276
85,0.0391,0.0474,2.4210,0.4620,2.8830,2.0754,-0.0277
86,0.0399,0.0479,2.3619,0.4966,2.8584,2.0082,-0.0278
87,0.0386,0.0468,2.4144,0.4639,2.8783,2.0497,-0.0287
88,0.0395,0.0464,2.3580,0.7402,3.0982,1.9582,-0.0283
89,0.0369,0.0481,2.4404,0.4964,2.9368,2.0995,-0.0290
90,0.0384,0.0462,2.3252,0.5277,2.8529,1.9236,-0.0275
91,0.0371,0.0477,2.1518,0.7746,2.9263,1.6976,-0.0266
92,0.0396,0.0472,2.3861,0.4957,2.8817,2.0176,-0.0294
93,0.0367,0.0450,2.2118,0.7442,2.9559,1.7376,-0.0296
94,0.0373,0.0455,2.2628,0.7432,3.0059,1.8358,-0.0295
95,0.0383,0.0443,2.3508,0.4974,2.8481,1.9444,-0.0289
96,0.0376,0.0444,2.2961,0.7410,3.0370,1.8716,-0.0290
97,0.0368,0.0451,2.2290,0.7118,2.9408,1.8098,-0.0290
98,0.0397,0.0474,2.3974,0.5256,2.9230,2.0407,-0.0295
