Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
245,0.1631,0.1293,0.3194,0.1423,0.4617,1.8388,-0.0979
246,0.1668,0.1384,0.3205,0.1274,0.4479,1.8663,-0.0532
247,0.1692,0.1329,0.3298,0.1279,0.4577,1.8639,-0.0495
248,0.1776,0.1377,0.3521,0.1186,0.4707,2.0097,-0.0979
249,0.1776,0.1370,0.3204,0.1275,0.4479,1.8875,-0.0979
250,0.1716,0.1353,0.3632,0.0798,0.4430,2.0951,-0.1039
251,0.1692,0.1424,0.3542,0.0829,0.4371,2.1480,-0.0834
252,0.1692,0.1485,0.3314,0.1128,0.4442,1.9830,-0.0495
253,0.1692,0.1352,0.3530,0.1043,0.4574,2.1836,-0.0483
254,0.1668,0.1390,0.3588,0.1119,0.4707,2.0987,-0.0761
255,0.1716,0.1341,0.3237,0.1191,0.4428,1.9231,-0.0906
256,0.1692,0.1419,0.3376,0.1011,0.4387,2.0476,-0.1051
257,0.1692,0.1411,0.3591,0.0796,0.4388,2.1743,-0.0556
258,0.1849,0.1512,0.3362,0.0960,0.4322,2.0247,-0.0580
259,0.1885,0.1559,0.3406,0.0960,0.4367,2.1214,-0.0955
260,0.1680,0.1333,0.3197,0.1125,0.4323,1.9821,-0.0495
261,0.1680,0.1383,0.3444,0.0965,0.4408,2.1342,-0.0846
262,0.1631,0.1329,0.3200,0.1278,0.4478,2.0040,-0.0495
263,0.1631,0.1457,0.3294,0.1120,0.4414,1.9562,-0.0991
264,0.1704,0.1352,0.3044,0.1280,0.4323,1.8766,-0.0918
265,0.1656,0.1452,0.3279,0.0961,0.4241,2.0334,-0.0943
266,0.1728,0.1455,0.3130,0.1130,0.4260,1.9536,-0.0773
267,0.1643,0.1350,0.3343,0.0981,0.4325,2.1062,-0.0653
268,0.1668,0.1419,0.3039,0.1539,0.4578,1.8491,-0.0894
269,0.1716,0.1357,0.2838,0.1502,0.4340,1.7405,-0.0737
270,0.1680,0.1306,0.3201,0.0957,0.4159,2.0404,-0.0701
271,0.1680,0.1497,0.3204,0.0796,0.3999,2.0754,-0.1088
272,0.1752,0.1466,0.3104,0.1119,0.4223,1.8740,-0.0556
273,0.1752,0.1540,0.3516,0.0937,0.4453,2.1836,-0.1051
274,0.1776,0.1495,0.3008,0.1113,0.4121,1.9420,-0.0858
275,0.1764,0.1438,0.3209,0.0791,0.4000,2.0869,-0.0785
276,0.1873,0.1445,0.3214,0.0968,0.4182,2.0719,-0.0943
277,0.1789,0.1513,0.3418,0.0800,0.4217,2.1903,-0.0640
278,0.1740,0.1505,0.3202,0.1106,0.4307,2.0566,-0.0471
279,0.1704,0.1419,0.3484,0.0954,0.4438,2.1166,-0.1076
280,0.1825,0.1441,0.3327,0.0917,0.4244,2.1431,-0.1039
281,0.1680,0.1447,0.3363,0.0789,0.4153,2.1780,-0.0483
282,0.1752,0.1384,0.3360,0.0800,0.4159,2.1651,-0.0471
283,0.1764,0.1379,0.2883,0.1264,0.4147,1.9023,-0.1015
284,0.1789,0.1391,0.3317,0.0796,0.4113,2.1607,-0.0810
285,0.1837,0.1546,0.3363,0.1301,0.4664,2.2116,-0.1051
286,0.1740,0.1471,0.3042,0.1121,0.4164,2.0559,-0.0906
287,0.1764,0.1435,0.2873,0.1189,0.4063,1.8930,-0.1076
288,0.1764,0.1443,0.3203,0.0796,0.3998,2.1791,-0.0665
289,0.1704,0.1524,0.3207,0.0790,0.3997,2.2082,-0.0822
290,0.1728,0.1485,0.3198,0.0802,0.4000,2.1857,-0.0979
291,0.1728,0.1495,0.2960,0.1122,0.4082,1.9768,-0.0822
292,0.1789,0.1466,0.3198,0.0794,0.3993,2.1430,-0.1160
293,0.1776,0.1523,0.3198,0.0803,0.4001,2.2164,-0.0785
294,0.1740,0.1583,0.3318,0.0804,0.4122,2.2805,-0.1003
295,0.1801,0.1535,0.3114,0.1121,0.4234,2.1791,-0.0931
296,0.1897,0.1604,0.3044,0.1410,0.4453,2.0128,-0.0508
297,0.1789,0.1561,0.3170,0.0799,0.3969,2.2013,-0.0918
298,0.1704,0.1499,0.3193,0.1027,0.4220,2.1801,-0.1063
299,0.1825,0.1606,0.3202,0.0801,0.4003,2.2619,-0.0640
300,0.1825,0.1571,0.2878,0.1119,0.3997,1.9888,-0.0991
301,0.1873,0.1572,0.3196,0.0800,0.3995,2.2452,-0.1051
302,0.1801,0.1554,0.2809,0.1279,0.4088,1.9319,-0.0882
303,0.1764,0.1540,0.2720,0.1118,0.3838,1.8666,-0.1051
304,0.1801,0.1558,0.3161,0.0962,0.4123,2.2521,-0.0991
305,0.1801,0.1555,0.2874,0.1138,0.4012,1.9261,-0.0967
306,0.1801,0.1664,0.2881,0.1098,0.3979,1.9947,-0.1027
307,0.1776,0.1659,0.3112,0.0796,0.3908,2.1595,-0.1100
308,0.1861,0.1717,0.3358,0.0795,0.4153,2.3635,-0.1076
309,0.1825,0.1574,0.2872,0.1124,0.3996,2.0316,-0.1160
310,0.1837,0.1578,0.2938,0.1445,0.4383,2.0117,-0.0761
311,0.1825,0.1594,0.2895,0.1128,0.4023,2.0645,-0.1196
312,0.1789,0.1608,0.3048,0.0948,0.3996,2.1604,-0.0882
313,0.2079,0.1709,0.2879,0.1189,0.4069,2.0045,-0.0544
314,0.1861,0.1674,0.2889,0.1032,0.3921,2.0995,-0.0822
315,0.1776,0.1659,0.2731,0.1275,0.4005,1.8904,-0.1076
316,0.1849,0.1621,0.2972,0.0964,0.3936,2.1839,-0.1245
317,0.1873,0.1617,0.3139,0.0961,0.4099,2.1922,-0.1257
318,0.1825,0.1573,0.2970,0.0959,0.3928,2.1703,-0.1221
319,0.1897,0.1665,0.3075,0.0681,0.3756,2.2356,-0.0604
320,0.1897,0.1629,0.3112,0.0964,0.4076,2.2817,-0.1184
321,0.1837,0.1627,0.2939,0.1113,0.4052,2.1627,-0.0943
322,0.1849,0.1572,0.3038,0.0795,0.3832,2.2199,-0.1112
323,0.1861,0.1644,0.3031,0.0959,0.3990,2.2794,-0.0592
324,0.1897,0.1659,0.2931,0.0959,0.3890,2.1910,-0.0725
325,0.1934,0.1547,0.2883,0.0936,0.3819,2.1095,-0.0894
326,0.1849,0.1704,0.2894,0.0785,0.3680,2.1912,-0.0894
327,0.1885,0.1598,0.2858,0.1124,0.3982,2.0776,-0.0544
328,0.1849,0.1679,0.2885,0.0828,0.3713,2.1674,-0.0943
329,0.1837,0.1598,0.2961,0.1119,0.4080,2.1750,-0.1124
330,0.1873,0.1765,0.2876,0.0808,0.3684,2.1674,-0.1063
331,0.1861,0.1542,0.2981,0.0643,0.3624,2.2862,-0.0725
332,0.1813,0.1745,0.3044,0.0984,0.4028,2.3638,-0.1100
333,0.1946,0.1693,0.2858,0.0874,0.3733,2.1600,-0.1184
334,0.1970,0.1602,0.2354,0.0959,0.3313,2.1327,-0.0822
335,0.1873,0.1727,0.3319,0.0629,0.3948,2.4648,-0.0701
336,0.1885,0.1782,0.2871,0.1120,0.3991,2.1424,-0.0592
337,0.1861,0.1686,0.2717,0.1045,0.3762,2.0336,-0.0967
338,0.1897,0.1675,0.2719,0.0966,0.3686,2.0511,-0.1196
339,0.1873,0.1747,0.2858,0.0811,0.3669,2.2098,-0.1305
340,0.1946,0.1811,0.2877,0.0796,0.3672,2.2458,-0.0483
341,0.1909,0.1670,0.2639,0.1278,0.3918,1.9225,-0.1076
342,0.2091,0.1859,0.3037,0.0804,0.3841,2.3087,-0.1136
343,0.2127,0.1958,0.2714,0.1120,0.3833,1.9618,-0.1136
344,0.2006,0.1677,0.2855,0.0811,0.3666,2.2354,-0.1148
345,0.1849,0.1813,0.2723,0.0955,0.3678,2.1224,-0.1124
346,0.1849,0.1741,0.2722,0.1274,0.3997,2.1215,-0.0520
347,0.1849,0.1692,0.2880,0.0808,0.3688,2.3295,-0.1088
348,0.1982,0.1780,0.2668,0.1124,0.3792,2.0675,-0.1100
349,0.1921,0.1886,0.2709,0.0960,0.3669,2.1366,-0.1245
350,0.2006,0.1741,0.2884,0.0804,0.3689,2.2796,-0.0979
