Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
207,0.3106,0.2300,0.2632,0.0630,0.3263,2.9601,-0.0616
208,0.3202,0.2876,0.2648,0.0612,0.3260,3.0003,-0.0894
209,0.4000,0.3386,0.2497,0.0637,0.3133,3.2153,-0.0906
210,0.3819,0.4746,0.2367,0.0875,0.3242,2.8102,-0.0520
211,0.4532,0.3610,0.2924,0.0309,0.3233,3.7185,-0.0858
212,0.4109,0.2961,0.2622,0.0933,0.3555,3.1197,-0.0894
213,0.3819,0.3174,0.2181,0.0830,0.3011,2.8195,-0.0725
214,0.3239,0.2117,0.2399,0.0638,0.3037,2.8906,-0.0894
215,0.3263,0.2789,0.2167,0.0929,0.3097,2.7587,-0.0870
216,0.3263,0.3182,0.2578,0.0611,0.3189,3.0083,-0.0906
217,0.3710,0.3303,0.2629,0.0924,0.3553,3.0807,-0.0858
218,0.5039,0.4158,0.2905,0.0305,0.3209,3.6921,-0.0834
219,0.3057,0.2663,0.2479,0.0632,0.3111,3.3032,-0.0798
220,0.4181,0.4281,0.2642,0.0618,0.3259,3.2570,-0.0906
221,0.3094,0.3484,0.2317,0.0932,0.3249,2.8916,-0.0520
222,0.4447,0.2930,0.2481,0.0616,0.3097,3.3086,-0.0918
223,0.3686,0.3054,0.2397,0.0922,0.3319,2.9232,-0.0918
224,0.5257,0.4720,0.2957,0.0638,0.3596,3.5292,-0.0955
225,0.3480,0.2791,0.2475,0.0929,0.3404,3.0269,-0.0894
226,0.3577,0.3405,0.2313,0.0934,0.3247,2.8117,-0.0785
227,0.3915,0.2580,0.2500,0.0308,0.2808,3.3204,-0.0822
228,0.3867,0.4163,0.2623,0.0605,0.3228,3.2910,-0.0568
229,0.3782,0.3547,0.2325,0.0934,0.3259,2.9676,-0.0580
230,0.4121,0.3003,0.2464,0.0611,0.3076,3.0676,-0.0604
231,0.4834,0.4450,0.2808,0.0617,0.3425,3.6859,-0.0834
232,0.4072,0.3880,0.2769,0.0639,0.3408,3.5673,-0.0858
233,0.3444,0.2772,0.2485,0.0773,0.3258,3.1184,-0.0761
234,0.2949,0.3048,0.2613,0.0627,0.3240,3.1069,-0.0882
235,0.3069,0.2829,0.1845,0.1257,0.3102,2.3929,-0.0798
236,0.3577,0.3609,0.2645,0.0924,0.3569,3.1482,-0.0943
237,0.3686,0.2533,0.2493,0.0624,0.3117,3.0021,-0.0882
238,0.6066,0.6198,0.2795,0.0782,0.3577,3.6757,-0.0822
239,0.4326,0.4047,0.2644,0.0625,0.3268,3.6473,-0.0822
240,0.3819,0.3302,0.2498,0.0625,0.3123,3.1379,-0.0508
241,0.2961,0.2699,0.2318,0.0936,0.3254,2.8787,-0.0761
242,0.4036,0.3019,0.2474,0.0615,0.3089,3.1408,-0.0725
243,0.2924,0.3187,0.2495,0.0765,0.3260,2.9358,-0.0991
244,0.4000,0.3485,0.2464,0.0537,0.3002,3.4223,-0.0955
245,0.3214,0.2842,0.2461,0.0928,0.3389,3.0184,-0.0870
246,0.3444,0.3181,0.2322,0.0930,0.3252,3.1062,-0.0943
247,0.3770,0.3215,0.2192,0.0798,0.2990,2.9690,-0.0943
248,0.4121,0.4189,0.2633,0.0311,0.2944,3.6371,-0.0906
249,0.4459,0.4509,0.2608,0.0601,0.3208,3.3958,-0.0882
250,0.4290,0.3607,0.2418,0.0916,0.3333,3.0883,-0.0955
251,0.4350,0.2990,0.2501,0.0611,0.3112,3.4594,-0.0870
252,0.4217,0.3939,0.2174,0.0930,0.3104,2.9634,-0.0725
253,0.3746,0.3630,0.2463,0.0900,0.3363,3.2276,-0.0822
254,0.5692,0.5515,0.2822,0.0612,0.3434,4.1736,-0.0943
255,0.4048,0.3894,0.2491,0.0930,0.3421,3.3205,-0.0906
256,0.4387,0.5045,0.2643,0.0935,0.3577,3.4167,-0.0749
257,0.3915,0.3407,0.2178,0.0614,0.2791,3.0656,-0.0943
258,0.4302,0.4468,0.2605,0.1079,0.3684,3.1503,-0.0725
259,0.4447,0.3852,0.2490,0.0636,0.3126,3.4930,-0.0749
260,0.3577,0.3690,0.2632,0.0604,0.3236,3.5714,-0.0785
261,0.3045,0.2971,0.1690,0.0953,0.2642,2.8728,-0.0834
262,0.3517,0.3659,0.1531,0.0917,0.2449,2.6284,-0.0761
263,0.3287,0.2978,0.2418,0.0625,0.3043,3.1622,-0.0882
264,0.3069,0.2214,0.2482,0.0651,0.3134,3.2533,-0.0773
265,0.4628,0.4555,0.2377,0.0867,0.3245,3.4240,-0.0822
266,0.3227,0.3001,0.2646,0.0622,0.3268,3.2991,-0.0918
267,0.3940,0.3268,0.2323,0.0933,0.3256,2.8890,-0.0761
268,0.2804,0.3203,0.2461,0.0626,0.3086,3.3382,-0.0943
269,0.2912,0.2492,0.2328,0.0618,0.2947,3.2975,-0.0967
270,0.2973,0.2009,0.1868,0.0601,0.2469,2.5789,-0.0906
271,0.3311,0.2487,0.2481,0.0929,0.3410,3.0696,-0.0979
272,0.2864,0.2204,0.2169,0.0823,0.2992,2.6139,-0.0580
273,0.3456,0.4508,0.2018,0.1078,0.3095,2.7848,-0.1015
